Datetime,Cell_Index,water_temperature
5/13/2022 8:00,0,15
5/13/2022 8:00,1,15
5/13/2022 8:00,2,15
5/13/2022 8:00,3,15
5/13/2022 8:00,4,15
5/13/2022 8:00,5,15
5/13/2022 8:00,6,15
5/13/2022 8:00,7,15
5/13/2022 8:00,8,15
5/13/2022 8:00,9,15
5/13/2022 8:00,10,15
5/13/2022 8:00,11,15
5/13/2022 8:00,12,15
5/13/2022 8:00,13,15
5/13/2022 8:00,14,15
5/13/2022 8:00,15,15
5/13/2022 8:00,16,15
5/13/2022 8:00,17,15
5/13/2022 8:00,18,15
5/13/2022 8:00,19,15
5/13/2022 8:00,20,15
5/13/2022 8:00,21,15
5/13/2022 8:00,22,15
5/13/2022 8:00,23,15
5/13/2022 8:00,24,15
5/13/2022 8:00,25,15
5/13/2022 8:00,26,15
5/13/2022 8:00,27,15
5/13/2022 8:00,28,15
5/13/2022 8:00,29,15
5/13/2022 8:00,30,15
5/13/2022 8:00,31,15
5/13/2022 8:00,32,15
5/13/2022 8:00,33,15
5/13/2022 8:00,34,15
5/13/2022 8:00,35,15
5/13/2022 8:00,36,15
5/13/2022 8:00,37,15
5/13/2022 8:00,38,15
5/13/2022 8:00,39,15
5/13/2022 8:00,40,15
5/13/2022 8:00,41,15
5/13/2022 8:00,42,15
5/13/2022 8:00,43,15
5/13/2022 8:00,44,15
5/13/2022 8:00,45,15
5/13/2022 8:00,46,15
5/13/2022 8:00,47,15
5/13/2022 8:00,48,15
5/13/2022 8:00,49,15
5/13/2022 8:00,50,15
5/13/2022 8:00,51,15
5/13/2022 8:00,52,15
5/13/2022 8:00,53,15
5/13/2022 8:00,54,15
5/13/2022 8:00,55,15
5/13/2022 8:00,56,15
5/13/2022 8:00,57,15
5/13/2022 8:00,58,15
5/13/2022 8:00,59,15
5/13/2022 8:00,60,15
5/13/2022 8:00,61,15
5/13/2022 8:00,62,15
5/13/2022 8:00,63,15
5/13/2022 8:00,64,15
5/13/2022 8:00,65,15
5/13/2022 8:00,66,15
5/13/2022 8:00,67,15
5/13/2022 8:00,68,15
5/13/2022 8:00,69,15
5/13/2022 8:00,70,15
5/13/2022 8:00,71,15
5/13/2022 8:00,72,15
5/13/2022 8:00,73,15
5/13/2022 8:00,74,15
5/13/2022 8:00,75,15
5/13/2022 8:00,76,15
5/13/2022 8:00,77,15
5/13/2022 8:00,78,15
5/13/2022 8:00,79,15
5/13/2022 8:00,80,15
5/13/2022 8:00,81,15
5/13/2022 8:00,82,15
5/13/2022 8:00,83,15
5/13/2022 8:00,84,15
5/13/2022 8:00,85,15
5/13/2022 8:00,86,15
5/13/2022 8:00,87,15
5/13/2022 8:00,88,15
5/13/2022 8:00,89,15
5/13/2022 8:00,90,15
5/13/2022 8:00,91,15
5/13/2022 8:00,92,15
5/13/2022 8:00,93,15
5/13/2022 8:00,94,15
5/13/2022 8:00,95,15
5/13/2022 8:00,96,15
5/13/2022 8:00,97,15
5/13/2022 8:00,98,15
5/13/2022 8:00,99,15
5/13/2022 8:00,100,15
5/13/2022 8:00,101,15
5/13/2022 8:00,102,15
5/13/2022 8:00,103,15
5/13/2022 8:00,104,15
5/13/2022 8:00,105,15
5/13/2022 8:00,106,15
5/13/2022 8:00,107,15
5/13/2022 8:00,108,15
5/13/2022 8:00,109,15
5/13/2022 8:00,110,15
5/13/2022 8:00,111,15
5/13/2022 8:00,112,15
5/13/2022 8:00,113,15
5/13/2022 8:00,114,15
5/13/2022 8:00,115,15
5/13/2022 8:00,116,15
5/13/2022 8:00,117,15
5/13/2022 8:00,118,15
5/13/2022 8:00,119,15
5/13/2022 8:00,120,15
5/13/2022 8:00,121,15
5/13/2022 8:00,122,15
5/13/2022 8:00,123,15
5/13/2022 8:00,124,15
5/13/2022 8:00,125,15
5/13/2022 8:00,126,15
5/13/2022 8:00,127,15
5/13/2022 8:00,128,15
5/13/2022 8:00,129,15
5/13/2022 8:00,130,15
5/13/2022 8:00,131,15
5/13/2022 8:00,132,15
5/13/2022 8:00,133,15
5/13/2022 8:00,134,15
5/13/2022 8:00,135,15
5/13/2022 8:00,136,15
5/13/2022 8:00,137,15
5/13/2022 8:00,138,15
5/13/2022 8:00,139,15
5/13/2022 8:00,140,15
5/13/2022 8:00,141,15
5/13/2022 8:00,142,15
5/13/2022 8:00,143,15
5/13/2022 8:00,144,15
5/13/2022 8:00,145,15
5/13/2022 8:00,146,15
5/13/2022 8:00,147,15
5/13/2022 8:00,148,15
5/13/2022 8:00,149,15
5/13/2022 8:00,150,15
5/13/2022 8:00,151,15
5/13/2022 8:00,152,15
5/13/2022 8:00,153,15
5/13/2022 8:00,154,15
5/13/2022 8:00,155,15
5/13/2022 8:00,156,15
5/13/2022 8:00,157,15
5/13/2022 8:00,158,15
5/13/2022 8:00,159,15
5/13/2022 8:00,160,15
5/13/2022 8:00,161,15
5/13/2022 8:00,162,15
5/13/2022 8:00,163,15
5/13/2022 8:00,164,15
5/13/2022 8:00,165,15
5/13/2022 8:00,166,15
5/13/2022 8:00,167,15
5/13/2022 8:00,168,15
5/13/2022 8:00,169,15
5/13/2022 8:00,170,15
5/13/2022 8:00,171,15
5/13/2022 8:00,172,15
5/13/2022 8:00,173,15
5/13/2022 8:00,174,15
5/13/2022 8:00,175,15
5/13/2022 8:00,176,15
5/13/2022 8:00,177,15
5/13/2022 8:00,178,15
5/13/2022 8:00,179,15
5/13/2022 8:00,180,15
5/13/2022 8:00,181,15
5/13/2022 8:00,182,15
5/13/2022 8:00,183,15
5/13/2022 8:00,184,15
5/13/2022 8:00,185,15
5/13/2022 8:00,186,15
5/13/2022 8:00,187,15
5/13/2022 8:00,188,15
5/13/2022 8:00,189,15
5/13/2022 8:00,190,15
5/13/2022 8:00,191,15
5/13/2022 8:00,192,15
5/13/2022 8:00,193,15
5/13/2022 8:00,194,15
5/13/2022 8:00,195,15
5/13/2022 8:00,196,15
5/13/2022 8:00,197,15
5/13/2022 8:00,198,15
5/13/2022 8:00,199,15
5/13/2022 8:00,200,15
5/13/2022 8:00,201,15
5/13/2022 8:00,202,15
5/13/2022 8:00,203,15
5/13/2022 8:00,204,15
5/13/2022 8:00,205,15
5/13/2022 8:00,206,15
5/13/2022 8:00,207,15
5/13/2022 8:00,208,15
5/13/2022 8:00,209,15
5/13/2022 8:00,210,15
5/13/2022 8:00,211,15
5/13/2022 8:00,212,15
5/13/2022 8:00,213,15
5/13/2022 8:00,214,15
5/13/2022 8:00,215,15
5/13/2022 8:00,216,15
5/13/2022 8:00,217,15
5/13/2022 8:00,218,15
5/13/2022 8:00,219,15
5/13/2022 8:00,220,15
5/13/2022 8:00,221,15
5/13/2022 8:00,222,15
5/13/2022 8:00,223,15
5/13/2022 8:00,224,15
5/13/2022 8:00,225,15
5/13/2022 8:00,226,15
5/13/2022 8:00,227,15
5/13/2022 8:00,228,15
5/13/2022 8:00,229,15
5/13/2022 8:00,230,15
5/13/2022 8:00,231,15
5/13/2022 8:00,232,15
5/13/2022 8:00,233,15
5/13/2022 8:00,234,15
5/13/2022 8:00,235,15
5/13/2022 8:00,236,15
5/13/2022 8:00,237,15
